festivalID,festivalName,countryID
1,Cannes Film Festival,3
2,Venice Film Festival,5
3,Berlin International Film Festival,4
4,Academy Awards,1
5,Golden Globe Awards,1
6,British Academy Film Awards,2
7,Toronto International Film Festival,7
8,Sundance Film Festival,1
9,Busan International Film Festival,12
10,International Film Festival of India,11
11,Tokyo International Film Festival,6
12,Locarno Film Festival,20
13,Karlovy Vary International Film Festival,30
14,San Sebastián International Film Festival,9
15,Shanghai International Film Festival,13
16,Sydney Film Festival,8
17,Cairo International Film Festival,93
